rank	domain	rank_bucket	single_status	single_commit_success	single_commit_latency_ms	single_warning_count	single_error	single_reachable	attempt1_status	attempt1_commit_success	attempt1_commit_latency_ms	attempt1_warning_count	attempt1_error	attempt2_status	attempt2_commit_success	attempt2_commit_latency_ms	attempt2_warning_count	attempt2_error	attempt3_status	attempt3_commit_success	attempt3_commit_latency_ms	attempt3_warning_count	attempt3_error	attempt4_status	attempt4_commit_success	attempt4_commit_latency_ms	attempt4_warning_count	attempt4_error	rate_limit_429_count	hard_failure_count	warning_count	replay_stable	audit_timestamp	all_gates_pass
1233	tradplusad.com	rank_1001_100000	200	true	4376	1		true	200	true	4783	1		200	true	3396	1		200	true	3794	1		200	true	4635	1		0	0	4	true	2026-08-29T06:20:49Z	true
1234	gazzetta.it	rank_1001_100000	0	false	22358	1	"Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://gazzetta.it/
Call log:
  - navigating to ""https://gazzetta.it/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:20:35Z	false
1235	fmkorea.com	rank_1001_100000	430	true	27043	0	RuntimeError: unacceptable main HTTP status: 430	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:20:44Z	false
1236	adaether.com	rank_1001_100000	0	false	602	1	"Error: Page.goto: net::ERR_NAME_NOT_RESOLVED at https://adaether.com/
Call log:
  - navigating to ""https://adaether.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:20:35Z	false
1237	magnific.com	rank_1001_100000	403	true	2207	0	RuntimeError: unacceptable main HTTP status: 403	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:20:37Z	false
1238	kernel.org	rank_1001_100000	200	true	1755	0		true	200	true	1895	0		200	true	1483	0		200	true	7008	0		200	true	1308	0		0	0	0	true	2026-08-29T06:21:04Z	true
1239	tubi.io	rank_1001_100000	0	false	21564	1	"Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://tubi.io/
Call log:
  - navigating to ""https://tubi.io/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:20:59Z	false
1240	fanfiction.net	rank_1001_100000	0	false	30336	0	"TimeoutError: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://fanfiction.net/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:21:14Z	false
1241	kakao.com	rank_1001_100000	0	false	21493	1	"Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://kakao.com/
Call log:
  - navigating to ""https://kakao.com/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:21:09Z	false
1242	divar.ir	rank_1001_100000	200	true	2157	0		true	200	true	1754	0		200	true	2571	0		200	true	3172	0		200	true	3687	0		0	0	0	true	2026-08-29T06:21:18Z	true
1243	idealista.com	rank_1001_100000	403	true	2426	0	RuntimeError: unacceptable main HTTP status: 403	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:20:58Z	false
1244	zalando.de	rank_1001_100000	0	false	30371	0	"TimeoutError: Page.goto: Timeout 30000ms exceeded.
Call log:
  - navigating to ""https://zalando.de/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:21:29Z	false
100104	agfeo.de	rank_100001_1000000	200	true	13326	1		true	200	true	12578	1		200	true	11762	1		200	true	11725	1		200	true	11618	1		0	0	4	true	2026-08-29T06:22:15Z	true
100105	mercadobitcoin.com.br	rank_100001_1000000	0	false	21674	1	"Error: Page.goto: net::ERR_CONNECTION_REFUSED at https://mercadobitcoin.com.br/
Call log:
  - navigating to ""https://mercadobitcoin.com.br/"", waiting until ""commit""
"	false	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	false	0	0	SKIPPED_SINGLE_GATE_FAILED	0	4	0	false	2026-08-29T06:21:23Z	false
