rank	domain	rank_bucket	https_url	dns_success	main_commit_success	main_http_status	main_commit_latency_ms	domcontentloaded	domcontentloaded_latency_ms	subresource_failed_count	warning_count	policy_exclusion_reason	hard_failure_reason	reachable	audit_timestamp
1064	as.com	rank_1001_100000	https://as.com/	True	True	200	442	False	0	3	2			True	2026-08-28T08:16:22Z
1065	kohls.com	rank_1001_100000	https://kohls.com/	True	False	403	506	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:16:43Z
1066	goal.com	rank_1001_100000	https://goal.com/	True	True	200	1696	True	3173	2	1			True	2026-08-28T08:16:43Z
1067	netgear.com	rank_1001_100000	https://netgear.com/	True	True	200	22726	True	22923	12	1			True	2026-08-28T08:16:43Z
1068	superhosting.bg	rank_1001_100000	https://superhosting.bg/	True	True	200	3170	False	0	0	1			True	2026-08-28T08:16:43Z
1069	tbank.ru	rank_1001_100000	https://tbank.ru/	True	True	200	4514	False	0	0	1			True	2026-08-28T08:16:43Z
1070	adblockplus.org	rank_1001_100000	https://adblockplus.org/	True	True	200	1779	True	10659	0	0			True	2026-08-28T08:16:43Z
1071	expedia.com	rank_1001_100000	https://expedia.com/	True	False	429	4329	False	0	0	0		RuntimeError:unacceptable_main_http_status:429	False	2026-08-28T08:16:43Z
1072	google.ca	rank_1001_100000	https://google.ca/	True	False	0	0	False	0	0	0		"Error:Page.goto: net::ERR_CONNECTION_REFUSED at https://google.ca/
Call log:
  - navigating to ""https://google.ca/"", waiting until ""commit""
"	False	2026-08-28T08:16:43Z
1073	alphonso.tv	rank_1001_100000	https://alphonso.tv/	True	True	200	901	False	0	0	1			True	2026-08-28T08:17:16Z
1074	incapdns.net	rank_1001_100000	https://incapdns.net/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:17:16Z
1075	oecd.org	rank_1001_100000	https://oecd.org/	True	False	403	3801	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:17:16Z
1076	flashscore.com	rank_1001_100000	https://flashscore.com/	True	True	200	1681	True	11133	1	1			True	2026-08-28T08:17:16Z
1077	bfmtv.com	rank_1001_100000	https://bfmtv.com/	True	True	200	1749	True	9164	0	0			True	2026-08-28T08:17:16Z
