rank	domain	rank_bucket	https_url	dns_success	main_commit_success	main_http_status	main_commit_latency_ms	domcontentloaded	domcontentloaded_latency_ms	subresource_failed_count	warning_count	policy_exclusion_reason	hard_failure_reason	reachable	audit_timestamp
100076	salzburgerland.com	rank_100001_1000000	https://salzburgerland.com/	True	True	200	1832	True	6776	1	1			True	2026-08-28T08:52:39Z
100077	firat.edu.tr	rank_100001_1000000	https://firat.edu.tr/	True	False	0	0	False	0	0	0		"Error:Page.goto: net::ERR_CONNECTION_REFUSED at https://firat.edu.tr/
Call log:
  - navigating to ""https://firat.edu.tr/"", waiting until ""commit""
"	False	2026-08-28T08:52:39Z
100078	fotohosting.su	rank_100001_1000000	https://fotohosting.su/	True	True	200	1757	True	3990	1	1			True	2026-08-28T08:52:39Z
100079	aegir.sexy	rank_100001_1000000	https://aegir.sexy/	True	True	200	1081	True	2878	0	0			True	2026-08-28T08:52:39Z
100080	doudou520.online	rank_100001_1000000	https://doudou520.online/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:52:39Z
100081	letsbeef.com	rank_100001_1000000	https://letsbeef.com/	True	False	0	0	False	0	0	0		"Error:Page.goto: net::ERR_EMPTY_RESPONSE at https://letsbeef.com/
Call log:
  - navigating to ""https://letsbeef.com/"", waiting until ""commit""
"	False	2026-08-28T08:53:00Z
100082	yonote.ru	rank_100001_1000000	https://yonote.ru/	True	True	200	1397	True	4950	1	1			True	2026-08-28T08:53:00Z
100083	okprint.kz	rank_100001_1000000	https://okprint.kz/	True	True	200	10448	False	0	0	1			True	2026-08-28T08:53:00Z
100084	weather.us	rank_100001_1000000	https://weather.us/	True	False	403	1509	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:53:00Z
100085	imagepond.net	rank_100001_1000000	https://imagepond.net/	True	True	200	4403	True	7216	5	1			True	2026-08-28T08:53:00Z
100086	u4gm.com	rank_100001_1000000	https://u4gm.com/	True	False	403	867	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:53:00Z
100087	sfs-network.biz	rank_100001_1000000	https://sfs-network.biz/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:53:00Z
100088	vat-search.com	rank_100001_1000000	https://vat-search.com/	True	True	200	1777	True	3936	0	0			True	2026-08-28T08:53:00Z
100089	frantech.ca	rank_100001_1000000	https://frantech.ca/	True	True	200	1067	True	1070	0	0			True	2026-08-28T08:53:22Z
100090	flirservices.com	rank_100001_1000000	https://flirservices.com/	False	False	0	0	False	0	0	0		dns_failure:gaierror	False	2026-08-28T08:53:22Z
100091	linux-magazin.de	rank_100001_1000000	https://linux-magazin.de/	True	False	403	2816	False	0	0	0		RuntimeError:unacceptable_main_http_status:403	False	2026-08-28T08:53:22Z
100092	mofo.com	rank_100001_1000000	https://mofo.com/	True	True	200	1077	False	0	0	1			True	2026-08-28T08:53:22Z
100093	4netplayers.com	rank_100001_1000000	https://4netplayers.com/	True	True	200	2659	True	3146	2	1			True	2026-08-28T08:53:22Z
